,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 Total,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Total,Grand Total
citation,garden,district.name,district.number,Bushenyi,Sheema,Rubirizi,alt,aream2,kmtomarkt,AvgSpdKph,hrtomrkt,Stems,Speciesm2,Sp1000m2,Stemsm2,sumheightm,meanheight,cmdbh,avgdbh,basalarea,meanbasalarea,m2covered,percentcover,annualherbcrop,lianeclimbers,grasses,perherbscrops,shrub,tree,Sales,hhmembers,male,female,headm1f2,yearsowned,gardenage,informantage,levelofed,occupation,otherland,daysused,Ind,Ind1000m2,introduced,Int1000m2,types,marketoriented,milletph,maizeph,casavaph,beanph,Peanutph,tobaccoph,peasph,coffeeph,sorghumph,soyph,potatoph,sumphplants,kgyield,kgsale,ushsale,Margalefdiversity,Shannon.Diversity,inverse.Simpson,Shanon.Eveness,Simpson.Eveness,richnessR,Cluster.number,Cluster.name,Cluster1,Cluster2,Cluster3,Cluster4,phplantsingarden,Spiceph,herbph,Tuberph,,Acalypha wilkesiana MŸll. Arg.,Ageratum conyzoides L.,Allamanda cathartica L.,Allium cepa L.,Ananas comosus (L.) Merr.,Annona muricata L.,Arachis hypogea L.,Artocarpus heterophyllus Lam.,Asteraceae Family (CW1027),Bauhinia variegata L.,Bidens pilosa L.,Brassica oleracea L.,Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & J.Presl (syn. Datura sauveolens),Bryophyllum pinnatum (Lam.) Oken,Buddleja davidii Franch (syn. Buddleia variabilis),Bulbine frutescens (L.) Willd.,Cajanus cajan (L.) Millsp.,Calliandra haematocephala Hassk.,Callistemon citratus (DC) Stapf.,Callistemon viminalis (Sol. ex Gaertn.) G.Don,Camellia sinensis (L.) Kuntze.,Capsicum annum L.,Capsicum frutescens L.,Cardiospermum halicacabum L.,Carica papaya L.,Cascabela thevetia (L.) Lippold. (Thevetia peruviana is syn.),Catharanthus roseus (L.) G. Don ,Cestrum nocturnum L.,cf. Grevillea robusta A.Cunn. ex R.Br. ,Chenopodium ambrosioides (L.) Mosyakin & Clemants,Cissus sp. (CW1158),Citrus limon (L.) Burm,Citrus sinensis (L.) Osbeck (syn. Citrus aurantium L.),Citrus tangerina Tanaka,Clematis hirsuta Guill. & Perr. ,Coleostephus myconis (L.) Rchb.f. syn. Chrysanthemum hybridum Guss.,Crassulaceae Family (CW1222),Crassulaceae Family (Plate27),Crassulaceae Family (Plate30),Cucurbita pepo L.,Cymbopogon citratus (DC.) Stapf. ,Cyphomandra betacea Sendt.,Dahlia sp.,Duranta repens L.,Eriobotrya japonica (Thunb.) Lindl.,Eucalyptus globulus Labill.,Eucalyptus grandis W. Hill ex Maiden,Euphorbia cotinifolia L.,Euphorbia pulcherrima Willd. ex Klotzsch.,Fittonia albivenis (Lindl. ex Veitch) Brummit. (syn. Fittonia argyronneura),Glycine max (L.) Merr.,Grevillea robusta A.Cunn. ex R.Br. ,Helianthus annus (Cass.) Cass.,Hibiscus rosa-sinensis L.,Impatiens sp. (CW1187),Indigofera atriceps Hook. f.,Ipomoea batatas (L.) Lam,Lantana camara L.,Leucaena leucocephala (Lam.) de Wit,Luffa acutangula (L.) Roxb.,Lycopersicon esculentum Mill.,Macrotyloma axillare (E. Mey.) Verdc.,Mangifera indica L.,Manihot esculenta Crantz,Melia azedarach L.,Mimosa pudica L.,Mirabilis jalapa L.,Morus alba L.,Nicotiana tobaccum L.,Passiflora edulis Sims.,Passiflora quadrangularis L.,Persea americana Mill.,Phaseolus lunatus L.,Phaseolus vulgaris L.,Physalis peruviana L.,Pinus radiata D. Don,Pisum sativum L. ,Podocarpus sp. (CW1154),Psidium guajava L.,Rhus pyroides Burch. (syn. Rhus vulgaris Meikle.),Rosa sp. (CW1218.7),Rosmarinus officinalis L.,Saccharum officinarum L.,Salvia splendens Ker-Gawl.,Sambucus nigra L.,Sansevieria sp. (CW1132),Sechium edule (Jacq.) Sw.,Senna occidentalis (L.) Link,Sida rhombifolia L.,Solanum aethiopicum L. (var Nakati),Solanum nigrum L.,Solanum tuberosum L.,Stachytarpheta cayennensis (A. Rich.) Vahl,Sysygium cuminii (L.) Skeels.,Talinum paniculatum (Jacq.) Gaertn.,Tithonia diversifolia (Hemsl.) A.Gray,Tropaeolum majus L.,Verbena officinalis L.,Vernonia sp. (CW1223),Xanthosoma sagittifolium (L.) Schott,Zea mays L.,Zingeberaceae Family (Plate29),Zingiber officinale Rosc.,totalintstems,Achyranthes aspera L.,Aframomum angustifolium (Sonn.) K.Schum. ,Aguaria salicifolia (Comm. ex Lam.) Hook. f. ex Oliv.,Albizia coriaria Welw. ex Oliv.,Alchornea cordifolia (Schumach. & Thonn.) MŸll.Arg.,Aloe vera (L.) Burm.f.,Amaranthus dubius Mart. ex. Thell,Amaranthus hybridus L.,Amaranthus hybridus subsp. cruentus (L.) Thell.,Amaranthus sp. (CW1061),Amaranthus sp. (CW1065.1),Amaranthus sp. (CW1065.2),Amaranthus sp. (CW1065.3),Annona senegalensis Pers.,Antiaris toxicaria Lesch.,Aspilia africana (Pers) C. D. Adams,Basella alba L.,Berkheya spekeana Oliv.,Bersama abyssinica Fresen. ,Blighia unijugata Bak.,Brachiaria ruziziensis R. Germ. & C. M. Evrard,Bridelia micrantha (Hochst.) Baill.,Brillantaisia owariensis P. Beauv.,Callistemon citratus (DC) Stapf.,Canavalia virosa (Roxb.) Wight & Arn. (syn. Canavalia cathartica),Centella asiatica (L.) Urb. ,cf. Combretum paniculatum Vent.,"Chenopodium opulifolium Schrad, ex G. C. T. Koch &. Ziz",Chlorophytum subpetiolatum (Baker) Kativu (syn. Anthericum suppetiolatum),Cissus rotundifolia (Forssk.) Vahl.,Cleistopholis patens (Benth.) Engl. & Diels,Clerodendrum formicarum GŸrke,Clerodendrum rotundifolium Oliv.,Coffea canephora Pierre ex A. Froehner (syn. Coffea robusta L.Linden),Coffea canephora Pierre ex A. Froehner (syn. Coffea robusta L.Linden) (cv Nasaland),Cola acuminata (P. Beauv.) Schott & Endl.,Conyza pyrrhopappa Sch.Bip. ex A.Rich. (syn. Microglossa angolensis),Cordia africana Lam.,Costus afer Ker Gawl.,Crassocephalum mannii (Hook. f.) MilneRedh. ,Crotalaria laburnifolia L.,Crotalaria petitiana (A. Rich.) Walp.,Croton macrostachyus Hochst. ex Delile,Cyathula uncinulata (Schrad.) Schinz,Cyperus alternifolius L.,Cyperus papyrus L.,Cyphostemma cyphopetalum (Fresen.) Desc. ex Wild & R.B.Drumm. ,Dichrocephala integrifolia (L. f.) Kuntze.,Dioscorea cayenensis Lam.,Dodonaea viscosa Jacq.,Dracaena steudneri Engl.,Draceana fragrans (L.) Ker Gawl.,Eleusine coracana Gaertn.,Erythrina abyssinica Lam. ex DC.,Erythrococca atrovirens (Pax) Prain,Erythrococca bongensis Pax.,Euphorbia tirucalli L.,Euphorbia umbellata (Pax) Bruyns,Faurea saligna Harv.,Ficus asperifolia Miq.,Ficus sur Forssk. (syn. Ficus capensis),Ficus thonningii Bl.,Fleroya rubrostipulata (K.Schum.) Y.F.Deng (syn. Hallea rubrostipulata (K. Schum.) J.  L. Leroy),Funtumia africana (Benth.) Stapf. ,Gouania longispicata Engl.,Gutenbergia cordifolia var. marginata (O. Hoffm.) C. Jeffrey,Gynandropsis gynandra (L.) Briq. (syn. Cleome gynandra L.),Gynura scandens O.Hoffm.,Harpagocarpus snowdenii Hutch. & Dandy,Harungana madagascariensis Lam. ex Poir.,Hibiscus acetosella Welw. ex Hiern.,Hibiscus fuscus Garcke,Impatiens meruensis Gilg,Imperata cylindrica (L.) P. Beauv.,Juniperus procera Hochst. ex Endl.,Justicia betonica L.,Justicia engleriana Lindau,Kalanchoe densiflora Rolfe. ,Khaya senegalensis (Desr.) A. Juss.,Kigelia africana (Lam.) Benth. (syn. Kigelia moosa),Kotschya africana Endl.,Leonotis melleri Bak. (cf. Leonotis mollissima GŸrke,Leucas martinicensis (Jacq.) R.Br.,Maesopsis eminii Musizi.,Malva parviflora L.,Marantochloa leucantha (K.Schum.) MilneRedh.,Markhamia lutea (Benth.) K.Schum.,Melochia corchorifolia L. (syn. Sida cuneifolia Roxb.),Musa accuminata Colla (AAA Group),Myrianthus arboreus Beauv.,Ocimum gratissimum L.,Parinari excelsa Sabine,Pennisetum purpureum Schumach. ,Phoenix reclinata Jacq.,Phytolacca dodecandra L'HŽr.,Plantago palmata Hook. f.,Plectranthus sp. (CW1140),Pleiocarpa pycnantha (K.Schum) Stapf,Plumbago zeylanica L.,Prunus africana (Hook.f.) Kalkman,Ricinus communis L.,Rubus keniensis Standl. ,Rumex usambarensis (Dammer) Dammer,Sapium ellipticum (Hochst.) Pax.,Senecio hadiensis Forssk.,Sesbania sesban (L.) Merr.,Shirakiopsis elliptica (Hochst.) Esser,Solanecio angulatus (Vahl) C.Jeffrey syn. Crassocephalum bojeri (DC.) Robyns.,Solanecio cydoniifolius (O.Hoffm.) C.Jeffrey,Solanum aculeastrum Dunal.,Solanum aethiopicum L. (var Entura),Solanum aethiopicum L. (var Obutura),Solanum giganteum Jacq.,Solanum macrocarpon L.,Sorghum bicolor (L.) Moench.,Spathodea campanulata P. Beauv.,Strombosia scheffleri Engl.,Tephrosia vogelii Hook.f.,Tetradenia riparia (Hochst.) Codd.,Tristemma mauritianum J.F. Gmel.,Triumfetta althaeoides Lam. (Triumfetta macrophylla Vahl. is a syn.),Urtica massaica Milder.,Vangueria apiculata K. Schum.,Vernonia amygdalina Delile,Vernonia brachycalyx O. Hoffm.,Vernonia kirungae R. E. Fries.,Xymalos monospora (Harv.) Baill.,Zehneria scabra (L.f.) Sond.,totalindstems,totalstems
79,BUR1,Bushenyi,1,1,0,0,1633,4372,3,1.5,2,57918.8,0.01,10,13.25,61.9,2.38,196.4,7.55,33032.26,1270.47,7832.82,179.2,8,1,0,8,6,3,0,7,1,0,1,27,27,54,6,1,1,365,12,2.74473925,14,3.202195791,5,0,0,0,0,0,0,0,0,1,0,0,0,1,5110.32657,0,0,3.727121331,1.058522376,1.665482819,0.288932596,0.042704688,39,2,Cluster2,0,1,0,0,1,0,0,1,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,30,,,,3497.6,,,1,5,,,50,,,,,,,,1,,52464,,,,,2,,,,,,,,,,,,,,,,,,,,,10,100,,,56167.6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,24,,,,,,4,,,,,,,,,,,,2,100,,,,,,,,,,,,,,,20,,,,,,,,,1,,,,,,,,,,,,1530.2,,,,,,,,,,,,,,,,,,,,15,,,3,,,50,,,,,,,,1,,,,,,1751.2,57918.8
88,BUR10,Bushenyi,1,1,0,0,1693,2952,2.5,1.5,1.67,2957.8,0.01,10,1,45.5,2.28,313.53,15.68,57675.84,2883.79,2850.95,96.6,5,0,1,5,3,6,4,5,1,0,1,27,27,47,7,0,1,365,9,3.048780488,11,3.726287263,5,1,1,0,0,0,0,0,0,0,0,0,0,1,3499.67898,2171.25,573234.5679,2.279608102,0.407668694,1.212323288,0.125124805,0.046627819,26,3,Cluster3,0,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,1,,,,,,,,5,,,,,,,,,,1,590.4,,,,,,,,4,,1180.8,2,,,,1,,,,,,,,,,,,,15,,,,,,,,,,,,1804.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,885.6,,,,80,,,,,,,,10,,,,,,,,,,12,1,,,100,,,,,,,,,,,,,,1153.6,2957.8
89,BUR11,Bushenyi,1,1,0,0,1672,1349,2.6,1.5,1.73,1118,0.01,10,0.83,34,2.27,59.52,3.97,4390.85,292.72,368,27.3,5,0,0,5,4,1,0,6,1,0,1,20,20,28,6,0,0,365,5,3.706449222,10,7.412898443,4,0,0,1,0,1,0,0,0,0,0,0,0,2,180.1125099,0,0,2.310462079,0.933582032,1.543679003,0.302028214,0.070167227,22,2,Cluster2,0,1,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,7,,,100,,,,,,,,8,,,,,3,,,1,,750,,,,,,,,,,,,,,,,,,,,,,1,,,,18,150,,,1039,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,79,1118
80,BUR2,Bushenyi,1,1,0,0,1626,2574,3.2,1.5,2.13,1177.43,0.01,10,0.46,79.9,2.22,336.45,9.35,64956.2,1804.34,1418.7,55.1,11,2,2,8,6,7,0,8,1,0,1,14,14,40,6,0,1,365,16,6.216006216,18,6.993006993,6,0,0,0,0,0,0,0,0,1,0,0,0,1,1406.248636,0,0,4.216180652,0.358202424,1.142911188,0.095236205,0.02657933,43,2,Cluster2,0,1,0,0,8,2,4,2,,,,,,,,200,,,,,6,,,,,,,,,,,1,,2,,,,,,1,,,,,,,,,1,10,,,,1,1,14,,,,,,,,,,30,20,,,,,2,120,,,,,,1,,3,,,1,,,,2,,,,,,,,,,,,4,,,,,,,,,20,,,,440,,,,,,,,,,18.33333333,18.33333333,18.33333333,18.33333333,,,,1,,,,,,,,,,,1,,,,,,30,,,,,,,,,,,,,,,,,,7,200,1,,,20,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,386.1,,,,10,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,737.4333333,1177.433333
81,BUR3,Bushenyi,1,1,0,0,1628,4240,3.2,1.5,2.13,21239.8,0,0,5.01,52.4,2.62,175.71,8.79,21565.05,1078.25,6507.19,153.5,5,0,2,6,2,5,1,4,1,0,1,64,64,80,0,0,2,365,9,2.122641509,11,2.594339623,5,0,0,0,0,0,0,0,0,1,0,0,0,1,3005.780035,1215,592000,2.377317579,1.478915336,3.436339547,0.493674067,0.171816977,20,3,Cluster3,0,0,1,0,3,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,5,,,,200,,,,,,1,,,,,,,,,1,,16960,,,,,,,,,2,,,,,,,,,30,,,,,,,,84.8,,,,17286.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,,,,,,,,,,,,,,,1,,,10,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1060,,,,22,,,,,,,,,,,,,,,,,,,3,,,1500,,,,,,,,,,,,,,3953,21239.8
82,BUR4,Bushenyi,1,1,0,0,1625,3194,3.2,1.5,2.13,2273,0.01,10,0.71,67.5,2.5,344.41,12.76,69031.49,2556.72,1391.84,43.6,9,0,2,7,4,5,3,4,1,0,1,42,42,65,14,1,1,365,11,3.44395742,16,5.009392611,5,1,1,0,0,0,0,0,0,0,1,0,0,2,1204.385761,607.875,185703.7037,3.137919519,1.660906665,3.572861796,0.522617537,0.148869242,24,4,Cluster4,0,0,0,1,8,1,5,2,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,200,,1,15,,,,,,,,3,,200,4,2,,,3,,,,2,,,,,,,,,,,,,1,,,,20,100,,,561,,,,,,,,,,319.4,319.4,319.4,319.4,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,319.4,,,,24,,,,,,,3,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,1712,2273
83,BUR5,Bushenyi,1,1,0,0,1634,1064,3.1,1.5,2.07,4941.4,0.02,20,4.64,61.5,2.67,261.01,11.35,36912.46,1604.89,1098.13,103.2,10,0,0,5,2,6,1,5,1,0,1,5,50,24,13,0,0,365,8,7.518796992,14,13.15789474,4,0,1,1,0,0,0,0,0,0,1,0,0,3,1008.606469,96,46775.30864,3.449295578,2.547411194,10.38255553,0.772917865,0.384539094,27,2,Cluster2,0,1,0,0,7,1,4,2,,,,,,,,,,,,,3,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,212.8,,,,,,,,1,,4256,1,,,,1,,,,,,,,,,,,,6,,,,,,,1,6,159.6,,,4652.4,,,,,,1,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.8,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,4941.4
84,BUR6,Bushenyi,1,1,0,0,1637,4545,3,1.5,2,31955.75,0.01,10,7.03,47.1,2.05,153.74,6.68,18711.87,813.56,4363.47,96,7,1,1,5,6,3,2,3,1,0,1,48,48,81,5,1,1,365,10,2.200220022,13,2.860286029,6,1,1,0,1,0,0,0,0,0,0,0,0,2,2665.063078,530,278876.5432,4.825314755,1.343333788,2.073142248,0.354985854,0.047116869,44,4,Cluster4,0,0,0,1,7,1,4,2,,,,,,,,,,,,,,,,,,,,,,10,,,,1,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1000,20,,,,,,60,,,,,,,,3,,27270,,,,,,,,,,,,,,,,,,40,,,,,,,,227.25,681.75,,,29316,,,,,,,,,,454.5,454.5,454.5,454.5,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.75,,,,14,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,2639.75,31955.75
