Bushenyi,Rubirizi,Sheema
1,1,1
1,0,0
0,1,0
0,2,0
0,6,2
0,1,0
8,2,4
12,3,6
14,9,23
17,20,20
12,5,8
5,0,0
0,2,0
0,3,0
0,1,0
0,9,1
3,0,1
0,1,0
0,2,0
0,1,0
3,0,1
0,1,0
3,0,2
2,0,4
0,3,0
0,2,2
5,0,4
0,2,0
0,1,1
0,1,1
0,2,0
2,2,1
21,21,11
26,34,31
0,0,2
1,0,0
1,1,0
0,1,0
0,1,0
1,0,0
5,1,0
1,0,0
0,1,0
2,0,0
2,0,0
1,2,7
2,0,1
1,1,0
1,1,0
1,0,0
2,2,3
1,0,0
1,1,0
1,1,0
22,25,15
8,15,19
7,5,8
1,0,0
1,0,0
6,0,19
3,1,0
0,1,0
1,4,1
1,2,0
1,0,0
6,0,2
0,1,1
0,4,0
0,0,1
1,0,0
0,2,0
4,1,2
4,3,2
0,2,2
1,5,0
3,7,4
3,0,1
0,1,0
0,9,2
0,1,1
0,0,1
4,0,2
1,2,3
4,1,7
3,8,5
0,2,0
0,1,0
1,0,0
1,0,0
6,2,1
0,3,1
2,0,0
0,1,0
0,1,0
4,3,1
6,8,9
0,0,1
0,1,0
3,8,4
0,1,1
13,3,2
0,1,0
2,0,0
3,0,1
0,8,3
1,0,0
0,0,1
1,0,0
1,0,0
1,1,0
13,4,14
0,1,0
0,1,0
3,5,2
0,4,0
1,4,0
2,4,2
0,1,0
4,0,1
1,4,0
0,3,3
0,2,0
0,0,1
5,2,1
1,2,4
14,19,27
24,13,27
0,1,1
1,2,0
1,0,0
0,2,3
6,18,5
18,3,9
1,2,0
0,1,0
2,0,0
0,1,0
5,5,1
2,0,2
0,2,1
0,2,0
3,2,1
11,8,5
0,0,1
1,0,0
1,0,0
0,1,0
2,0,0
1,0,0
0,1,0
0,1,2
