Bushenyi,Rubirizi,Sheema
4,0,0
1,0,1
0,4,4
0,0,1
2,2,5
1,2,0
3,17,23
0,1,0
3,5,2
1,1,0
0,1,0
11,21,22
12,2,2
0,1,1
4,8,2
11,4,16
3,0,0
0,0,1
0,1,2
1,1,0
2,0,0
0,2,0
3,4,1
2,2,2
2,0,4
1,0,1
1,0,2
2,4,2
1,3,1
4,0,5
13,20,15
0,1,0
1,0,0
19,21,15
0,2,0
0,1,0
4,7,3
2,8,1
4,3,2
0,1,0
0,1,0
5,2,0
13,6,8
1,1,0
1,0,0
0,0,2
0,2,0
7,15,1
1,0,0
18,19,28
0,0,1
1,0,0
7,6,9
1,2,7
0,2,3
7,4,0
24,1,17
1,6,5
6,9,11
1,2,3
0,1,0
9,12,9
0,2,0
0,0,1
2,0,0
4,1,1
1,0,1
20,4,5
2,0,0
0,1,0
5,1,0
18,11,20
0,3,0
7,6,0
1,0,0
0,0,2
0,1,1
5,0,5
1,1,0
0,1,0
1,0,0
0,0,1
0,0,1
21,11,24
27,22,26
1,0,4
0,0,1
1,1,1
0,0,1
3,4,0
27,30,27
34,34,34
25,29,22
22,28,32
3,5,18
1,0,0
6,10,11
15,20,21
0,1,0
31,30,30
1,2,1
32,13,31
15,10,23
0,1,2
23,19,28
1,0,0
1,1,0
3,0,1
1,5,0
21,24,31
0,2,0
3,5,2
1,0,0
2,1,2
0,0,1
5,6,12
6,12,7
0,1,1
11,4,3
10,11,28
13,13,12
16,3,18
1,12,11
0,2,0
0,0,1
1,3,1
2,1,1
2,0,0
1,1,1
6,2,2
1,2,1
0,2,0
32,31,30
0,3,4
20,8,22
1,0,7
