Bushenyi,Rubirizi,Sheema
3,0,1
4,0,0
1,1,1
2,4,6
1,0,0
1,0,1
2,0,1
0,4,4
3,0,1
0,1,0
0,2,0
0,6,2
0,1,0
0,0,1
2,2,5
8,2,4
1,2,0
2,0,1
1,1,0
12,3,6
14,9,23
17,20,20
4,1,3
12,5,8
3,17,23
0,1,0
5,0,0
0,2,0
1,0,0
0,3,0
1,3,0
3,5,2
1,1,0
0,1,0
11,21,22
0,1,2
0,1,0
1,0,0
0,9,1
1,0,1
2,2,3
12,2,2
1,0,0
3,0,1
1,0,0
0,1,1
0,1,0
0,1,0
0,2,0
4,8,2
0,1,0
0,1,0
3,0,1
11,4,16
0,0,2
0,1,0
3,0,2
1,0,0
3,0,0
0,0,1
2,0,0
0,1,2
1,1,0
2,0,0
0,2,0
1,0,0
3,4,1
0,1,0
0,1,0
2,2,2
0,0,1
2,0,4
1,0,1
1,0,2
0,3,0
2,4,2
1,3,1
9,1,5
1,0,0
4,0,5
13,20,15
1,0,1
0,1,0
1,0,0
19,21,15
0,0,2
1,0,0
0,2,0
0,1,0
4,7,3
0,1,0
2,8,1
1,0,0
2,2,1
0,2,2
4,3,2
1,0,0
0,1,0
5,0,4
0,2,0
0,1,0
0,1,1
1,0,0
5,2,0
13,6,8
0,1,0
1,1,0
0,1,1
1,0,0
0,2,0
2,2,1
1,4,1
21,21,11
26,34,31
0,0,2
1,0,0
0,2,0
2,0,0
7,15,1
2,0,1
1,1,0
0,1,0
0,1,0
0,1,0
1,0,0
5,1,0
0,0,1
3,1,5
1,0,0
0,1,0
0,0,1
2,0,0
1,0,0
18,19,28
0,0,2
0,0,1
1,1,0
2,0,0
1,0,0
7,6,9
1,2,7
2,0,1
2,0,0
1,1,0
0,0,1
0,2,3
1,1,0
1,0,0
2,2,3
1,0,0
1,1,0
1,1,0
22,25,15
0,1,0
7,4,0
1,1,0
8,15,19
0,1,1
24,1,17
1,0,1
7,5,8
1,0,0
1,0,0
0,0,1
1,6,5
6,9,11
0,0,1
1,2,3
0,1,0
0,0,2
6,0,19
3,1,0
0,0,1
9,12,9
1,1,2
0,1,0
1,4,1
1,2,0
2,5,2
1,0,0
6,0,2
0,2,0
0,3,0
0,1,1
0,0,1
0,4,0
2,0,0
0,0,1
1,0,0
4,1,1
1,0,1
0,2,0
4,1,2
4,3,2
0,2,2
0,0,1
1,5,0
20,4,5
2,1,1
3,7,4
2,0,0
3,0,1
0,1,0
0,2,1
0,1,0
0,9,2
0,1,1
1,1,1
0,0,1
5,1,0
0,0,4
18,11,20
2,0,2
0,3,0
1,0,1
4,0,2
0,0,1
1,2,3
4,1,7
0,0,1
3,8,5
1,5,0
0,2,0
0,1,0
1,0,0
1,0,0
7,6,0
1,0,0
0,0,2
0,0,1
0,0,1
0,1,0
6,2,1
0,1,1
0,0,1
0,3,1
0,0,1
5,0,5
1,1,0
0,1,0
1,0,0
2,0,0
0,0,1
0,0,1
0,1,0
1,1,1
21,11,24
27,22,26
1,0,4
0,0,1
0,1,0
0,0,1
4,3,1
1,0,2
0,0,1
0,3,0
6,8,9
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
0,0,1
0,3,0
3,4,0
27,30,27
34,34,34
25,29,22
22,28,32
3,5,18
1,0,0
1,1,1
0,1,0
6,10,11
3,8,4
0,1,1
15,20,21
0,1,0
13,3,2
0,1,0
31,30,30
1,2,1
32,13,31
2,0,0
1,0,1
15,10,23
3,0,1
0,1,2
0,8,3
0,0,1
0,1,0
1,0,0
0,0,1
1,0,0
0,0,1
0,1,0
1,0,0
1,1,0
23,19,28
1,0,0
1,1,0
13,4,14
5,0,1
3,0,1
0,1,0
0,1,0
1,5,0
0,0,2
3,5,2
21,24,31
0,2,0
0,4,0
1,1,1
0,1,3
1,4,0
3,5,2
1,0,0
2,4,2
0,1,0
2,1,2
0,1,0
4,0,1
1,4,0
0,0,1
5,6,12
0,0,1
0,3,3
0,2,0
0,0,1
5,2,1
1,1,1
1,2,4
14,19,27
24,13,27
6,12,7
1,0,1
0,1,1
1,2,0
0,1,1
0,1,0
1,0,0
11,4,3
10,11,28
0,2,3
13,13,12
1,1,1
0,1,0
6,18,5
16,3,18
18,3,9
1,2,0
1,12,11
0,2,0
1,0,1
0,1,0
0,0,1
1,3,1
2,1,1
1,0,1
2,0,0
1,1,1
1,0,1
2,0,0
0,1,0
5,5,1
6,2,2
2,0,2
0,2,1
0,0,1
1,0,0
0,2,0
1,2,1
1,0,1
3,2,1
11,8,5
0,0,1
0,2,0
1,0,0
1,0,0
0,1,0
2,0,0
3,6,1
1,0,0
32,31,30
0,3,4
0,1,0
0,1,0
20,8,22
0,1,2
0,0,2
1,0,7
0,0,2
1,1,2
